gene,importance
parC_S80I,0.6899310514895729
aac(6')-Ib,0.4451958774328414
armA,0.43264057147386836
blaKPC-3,0.32195225832905294
catA1,0.21229299521205508
blaSHV-1,0.20200434805356607
dfrA12,0.20023107941370538
blaOXA-1,0.18388416157755874
oqxB,0.167320022324923
aph(3')-VIb,0.16667425197836458
aph(3'')-Ib,0.16497786519877275
aadA1,0.14633217101665708
aph(6)-Id,0.13165383927514315
blaSHV-11,0.1158000155829423
catB,0.10819376075584437
aac(3)-IIe,0.10525254378117944
aph(3')-VI,0.08207810938989718
aph(3')-Ia,0.08036660103952245
tet(A),0.07090792946289323
blaKPC-2,0.06364100604156557
catB3,0.05599290651213879
gyrA_S83Y,0.054384205135932444
qnrS1,0.051130804590911086
oqxA11,0.05056745382261002
dfrA50,0.04979193898599796
blaOXA-9,0.049768205266327976
blaOXA-232,0.04720746101035624
arr-2,0.046993198150054184
dfrA14,0.04447750000989203
blaSHV,0.04329768878619188
aac(3)-IId,0.043182395642510835
aadA16,0.03986805684299184
sul1,0.038638771719058496
qacEdelta1,0.03684324327422265
ompK35_E42RfsTer47,0.03426925160919076
gyrA_D87A,0.03386725846672923
blaOXA-48,0.03189843219275681
gyrA_D87N,0.029817616226363725
sul2,0.026433248907573363
oqxB19,0.022014897233156493
mrx(A),0.021225039215186318
mph(A),0.020912937981817554
aac(3)-IVa,0.020747317822109645
blaTEM,0.020372395844627415
dfrA1,0.0203292481631554
mph(E),0.01808157589841994
dfrA27,0.016683570792079057
ompK36_D135DGD,0.014505018914577764
blaCTX-M-14,0.01444315554789212
blaCMY-4,0.014033650513217083
qnrB1,0.012707336082636436
gyrA_S83T,0.012702829241196218
msr(E),0.01173248135678461
blaCTX-M,0.011707822207128066
floR,0.008983830067545181
blaCTX-M-15,0.008793852258492064
rmtF,0.00823858863838732
gyrA_D87Y,0.007226179741111008
oqxB20,0.005966738734612163
aph(4)-Ia,0.005858711523491655
tet(D),0.005556334345757303
ant(2'')-Ia,0.004577656018019548
blaOXA,0.0035727053269793466
cmlA1,0.0035438125466210266
ampC-Kaer,0.0033933700641892873
gyrA_D87G,0.003360462002205838
blaSHV-12,0.0033178148844337507
cmlA5,0.0028075671842704023
ompK35_L14GfsTer11,0.0027598225586344957
aadA2,0.002732498884583574
rmtF1,0.002681813683737301
arr-3,0.002656951019303189
ble,0.0025623951198002794
ompK36_T136TDT,0.0024455103323189073
gyrA_S83F,0.0023820002576068595
blaOXA-10,0.0023267610585367793
blaTEM-1,0.0023138977070857785
catA2,0.002293415278940489
dfrA15,0.0022870354187389842
blaSHV-26,0.0018082940470601808
fosA7,0.001584863928947998
qacE,0.0014971250876650141
ompK35_R60LfsTer31,0.001320103166362187
aac(6')-Ib',0.0012228882831522596
blaSCO-1,0.001120040192272078
aac(6')-Il,0.0010805837947458791
sul3,0.0008935009928286511
estX-3,0.0007839457305366818
gyrA_S83I,0.0007703734594847631
blaSHV_C-112A,0.0006644446382017401
qnrB4,0.0005316787469874872
oqxB25,0.0005124556001346169
dfrA5,0.0003992076494454299
sat2,0.00037867458861815933
blaNDM-1,0.00035742800511355007
qnrA6,0.00034170711481613383
ompK35_D165AfsTer85,0.00034037670395707615
ompK36_D135DD,0.00020430558646845906
arr,0.00015257214999470106
oqxA,0.0
ompK35_K235Ter,0.0
ompK35_I69SfsTer1,0.0
ompK35_G62AfsTer1,0.0
