gene,importance
ompK36_@fs_184_185_110308_256106_1,0.1609058529138565
ompK35_@fs_46_47_0_30950_0,0.14955365657806396
ompK36_@del_300_301_125765_125768_1_STOP,0.1493014395236969
ompK35_@fs_46_47_597_31631_1,0.11572736501693726
ompK35_@fs_46_47_90604_121683_1,0.11548414826393127
blaSHV_C-112A,0.11430767178535461
blaNDM-7,0.11168628931045532
blaCMY-2,0.09073237329721451
tet(M),0.08237040042877197
blaKPC-3,0.08066355437040329
ompK35_E132K,0.08048606663942337
ant(2'')-Ia,0.07744032144546509
blaCTX-M-3,0.07270613312721252
aph(3')-IIIa,0.07259471714496613
oqxR_V113I,0.07211294025182724
qnrS,0.07045487314462662
ompK36_@fs_164_165_775_2419_1,0.06593447923660278
qnrA1,0.05878418684005737
oqxR_D95E,0.05154373124241829
dfrA50,0.051389578729867935
qnrS1,0.04863245040178299
acrR_V165I,0.04630514234304428
acrR_Y114F,0.04630514234304428
blaKPC-2,0.04391811788082123
cmlA1,0.04281938076019287
qacL,0.04265099763870239
estX-3,0.042468249797821045
sul3,0.042136430740356445
pmrA_G53S,0.04137521982192993
mrdA_T529N,0.032049089670181274
ftsI_L367Q,0.03175610303878784
tet(D),0.03150444105267525
qnrB,0.025165995582938194
aadA5,0.024816691875457764
dfrA17,0.02418699860572815
ompK36_W125Ter,0.02332407236099243
ompK36_@del_124_125_173226_173229_0_STOP,0.02332407236099243
blaCTX-M-15,0.023062674328684807
qnrE1,0.022572040557861328
blaNDM-50,0.021984517574310303
erm(B),0.020532825961709023
aadA2,0.02030240185558796
dfrA14,0.01880531571805477
ompK36_@fs_322_323_0_144071_0,0.01666581630706787
dfrA7,0.015979528427124023
aac(6')-Ib3,0.015111327171325684
dfrA12,0.014522812329232693
blaTEM-1,0.014333527535200119
qnrB6,0.014246165752410889
blaOXA,0.013510970398783684
aac(6')-Ib,0.013041066005825996
gyrA_S83I,0.012146002613008022
gyrA_S83Y,0.012119102291762829
aac(6')-Ib',0.01178431510925293
qnrB1,0.011762547306716442
tet(A),0.011718211695551872
oqxR_@fs_88_89_50201_91960_1,0.011628866195678711
aph(6)-Id,0.011585020460188389
qacF,0.01156461238861084
ompK36_@del_195_196_107149_107152_0_STOP,0.01148897409439087
aac(3)-Ib,0.011467039585113525
qacEdelta1,0.01144531648606062
aph(3'')-Ib,0.011342505924403667
aac(3)-IIe,0.010806657373905182
sul1,0.010587482713162899
sul2,0.010455900803208351
blaOXA-9,0.010321483016014099
parC_S80I,0.010279843583703041
catA2,0.010010803118348122
aac(3)-IId,0.00955614447593689
aac(6')-Ib-cr5,0.00954550039023161
ompK36_@fs_123_124_128103_593713_1,0.009473204612731934
ble,0.009457425214350224
catB3,0.00943976454436779
dfrA27,0.009024153463542461
aadA16,0.008990079164505005
qnrB19,0.008771240711212158
blaOXA-1,0.00858315359801054
fosA7,0.008000177331268787
mph(A),0.007734397891908884
blaOXA-1451,0.007687568664550781
aadA1,0.007671418599784374
mrx(A),0.007630920968949795
blaOXA-10,0.0067787766456604
cmlA5,0.006732129957526922
blaTEM,0.006701564881950617
oqxR_@fs_94_95_0_41692_0,0.0066072940826416016
nfsB_@del_93_94_61298_61301_1_STOP,0.006525158882141113
floR,0.005807965993881226
arr-3,0.005638943053781986
ompK35_@fs_61_62_138452_185857_1,0.005541622638702393
ompK35_@fs_61_62_0_171554_0,0.005541622638702393
qacE,0.005449124611914158
qnrA,0.005442023277282715
gyrA_D87A,0.005386054515838623
aph(3')-Ia,0.005127040669322014
dfrA1,0.00502583384513855
ompK36_@fs_140_141_0_239665_0,0.005010485649108887
ompK36_@fs_140_141_0_63339_0,0.005010485649108887
aac(6')-Ib-cr,0.0048240721225738525
blaCTX-M-220,0.004818260669708252
blaTEM-24,0.004795193672180176
ompK35_@fs_95_96_0_30832_0,0.004786193370819092
blaKPC-4,0.004779219627380371
ompK35_@fs_299_300_0_46746_0,0.004754304885864258
mgrB_@fs_24_25_18095_169077_1,0.004700303077697754
ompK35_@fs_59_60_70143_117437_1,0.0045608580112457275
gyrA_D87N,0.0045153298415243626
blaNDM-5,0.004390689544379711
qnrB2,0.004107743501663208
aadD1,0.0037059783935546875
aph(3')-VI,0.0036521023139357567
blaCTX-M,0.0036293864250183105
ompK35_@fs_95_96_0_30837_0,0.003603041172027588
pmrB_T140P,0.0035254061222076416
qnrB91,0.003475785255432129
blaNDM-1,0.003441888140514493
ompK36_D135DGD,0.003433027071878314
gyrA_S83F,0.003402014495804906
ompK36_@del_130_131_116249_116252_1_STOP,0.0033816099166870117
